"","251","253","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","280","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","297","298","299","300","301","302","303"
"2013-04-17",NA,NA,10,NA,NA,13,NA,4,8,6,NA,NA,NA,21,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-04-18",NA,NA,NA,NA,NA,9,NA,4,NA,NA,NA,NA,NA,8,NA,4,NA,NA,NA,3.5,NA,4,NA,5,6,4,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-04-19",NA,NA,9,NA,15,8,3,5,10,16,NA,NA,NA,22,NA,NA,NA,NA,NA,3.5,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-04-20",NA,NA,NA,NA,NA,NA,3,4,17,NA,NA,28,NA,18,6,8,NA,15,NA,8,NA,5,NA,6,1,NA,NA,1.33333333333333,NA,NA,NA,NA,NA,15,14,NA,NA,8,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-04-21",20,NA,28,NA,NA,17,0,7,NA,NA,NA,NA,NA,19,NA,6,NA,NA,NA,8,NA,5,NA,7,NA,28,NA,1.33333333333333,NA,0,1,NA,1,NA,10,0,0,NA,NA,10,NA,NA,5,NA,NA,3,NA,NA,NA,NA
"2013-04-22",NA,NA,NA,NA,NA,13,2,3,6,17,NA,NA,NA,13,2,6,NA,NA,NA,9,NA,6,3,6,0,NA,NA,26.3333333333333,NA,0,NA,14,NA,50,7,NA,0,3,5,10,NA,NA,4,6,4,NA,NA,NA,NA,NA
"2013-04-23",NA,NA,NA,NA,15,9,3,4,6,NA,14,NA,NA,0,NA,6,NA,NA,NA,NA,NA,4,10,7,NA,NA,NA,2,NA,NA,NA,6,NA,NA,6,NA,NA,2,NA,NA,NA,NA,6,4,10,3,NA,NA,NA,NA
"2013-04-24",22,NA,15,NA,NA,13,5,4,15,NA,NA,NA,6,10,NA,5,NA,17,NA,8,NA,4,NA,6,0,NA,4,4,4,0,NA,NA,NA,15,3,NA,10.5,4,NA,NA,NA,NA,4,9,NA,6,NA,NA,NA,NA
"2013-04-25",NA,12,3,NA,16,9,2,5,NA,7,NA,NA,NA,13,NA,NA,NA,16,NA,9,NA,3,5,8,NA,2,5,NA,2,0,NA,NA,23,NA,NA,NA,0.5,NA,NA,12,NA,NA,8,1.25,3,10,NA,NA,NA,NA
"2013-04-26",NA,NA,NA,2,NA,8,NA,4,17,NA,NA,NA,11,7,4,3,NA,NA,NA,NA,9,NA,NA,7,NA,NA,3,1.5,9,0,NA,NA,5,30,5,NA,0,5,5,13,2,NA,NA,1.25,1,NA,NA,NA,NA,NA
"2013-04-27",17,NA,16,NA,NA,9,4,6,9,NA,NA,15,4,30,NA,5,NA,13,NA,NA,NA,3,NA,8,NA,3,NA,1.5,NA,9,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.25,1,6,NA,NA,NA,NA
"2013-04-28",NA,NA,13,NA,NA,NA,NA,3,11,24,5,NA,3,9,7,5,5,11,NA,NA,NA,5,25,5,1,4,NA,41.5,46,NA,NA,NA,NA,13,5,NA,NA,6,4,NA,3,28,1.5,1.25,3,NA,NA,2,NA,NA
"2013-04-29",NA,NA,NA,4,NA,11,9,4,NA,NA,NA,NA,NA,6,NA,6,1,NA,NA,7,NA,5,NA,7,NA,NA,NA,13.5,2,3,NA,40,NA,30,4,0,NA,NA,4,NA,NA,NA,12,NA,3,6,NA,7,NA,NA
"2013-04-30",NA,NA,15,NA,15,8,NA,5,13,8,NA,22,3,0,4,6,NA,NA,10,NA,10,4,9,NA,NA,NA,NA,8,NA,NA,NA,50,4,NA,NA,0,NA,5,4,NA,1,5,4,6,NA,2,6,NA,11,NA
"2013-05-01",9,14,NA,2,0,4,9,2,NA,8,4,20,4,NA,3,6,1,0,8,8,10,14,NA,6,0,1,12,4,13,1,3,NA,6,15,9,0,2,3,12,23,2,6,3,9,7,4,7,7,8,NA
"2013-05-02",21,6,17,4,25,4,1,2,16,5,4,11,4,NA,2,10,5,NA,10,NA,NA,4,10,7,NA,4,9,NA,NA,6,6,6,7,30,NA,NA,3,6,NA,6.5,2,5,NA,0.5,NA,12,12,NA,8,NA
"2013-05-03",NA,NA,NA,2,NA,NA,NA,2.5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,8,0,NA,NA,2,7,NA,NA,5,NA,NA,5,NA,NA,NA,4.5,6.5,NA,NA,2,0.5,NA,NA,NA,NA,NA,NA
"2013-05-04",NA,7,12,2,10,9,7,2.5,11,NA,2,44,3,NA,NA,5,7,NA,19,NA,23,8,7.5,NA,NA,NA,11,3,4,NA,4,8,8,NA,12,NA,0,10,11.5,21,5,NA,6,0.5,NA,14,22,NA,NA,NA
"2013-05-05",14,NA,NA,3,0,6,NA,3,NA,31,0,NA,6,NA,9,NA,7,NA,13,NA,8,NA,NA,16,1,9,6,2,3,0,NA,5,11,30,4,NA,NA,6,3,15,NA,13,NA,0.5,NA,NA,9,NA,NA,NA
"2013-05-06",NA,8,13,4,10,8,6,2,14,NA,5,9,3,NA,NA,6,5,11,11,NA,8,3,12,NA,1,2,5,5,0,NA,4,4,5,45,NA,NA,0,7,7,18,4,NA,4,NA,NA,9,10,NA,NA,NA
"2013-05-07",NA,2,NA,4,0,8,NA,3,NA,NA,NA,NA,NA,NA,5,10,NA,10,10,6,13,3,NA,8,NA,2,5,5,1,1,NA,7,6,12,5,NA,0,5,NA,NA,1,4,5,2,NA,7,6,NA,NA,NA
"2013-05-08",NA,0,13,7,26,7,5,2,13,32,8,24,0,NA,3,NA,0,11,15,NA,NA,2,16,6,1,4,4,5,3,NA,3,4,2.5,13,5,0,NA,2,10,6,2,NA,NA,3,NA,NA,9,8,0,NA
"2013-05-09",7,3,NA,3,NA,6,NA,2.5,6,NA,4,15,0,7,4,5,3,14,10,9,9,NA,30,NA,2,NA,NA,0,NA,2,NA,5,2.5,13,NA,NA,0,NA,NA,28,1,9,10,NA,NA,4,8,6,18,NA
"2013-05-10",NA,3,5,2,5,5,8,2.5,NA,4,3,10,0,NA,4,7,3,NA,9,NA,6,8,NA,NA,NA,6,12,NA,10,NA,4,7,NA,NA,0,0,NA,8,6,12,NA,NA,5,0,32,2,10,NA,NA,NA
"2013-05-11",2,3,5,5,5,7,NA,5,14,NA,NA,12,0,9,4,8,NA,15,9,NA,20,3,10,NA,0,2.5,6,0,5,5,NA,6,9,30,NA,0,0,NA,5,NA,6,4,NA,NA,5,4,7,NA,26,NA
"2013-05-12",2,7,NA,5,4,8,9,3,NA,13,8,20,0,NA,NA,6,16,NA,9,NA,8,3,NA,23,0,2.5,5,NA,NA,NA,6,6,5,15,13,0,0,12,14,30,3,9,4,1,4,10,11,NA,8,NA
"2013-05-13",13,4,18,3,5,9,6,2,5,15,5,25,0,NA,5,6,3,12,7,NA,8,5,25,8,1,4,8,5,10,3,NA,7,6,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,4,3,13,17,NA,NA
"2013-05-14",NA,5,NA,6,4,6,NA,3,7,NA,NA,20,0.285714285714286,NA,NA,15,3,NA,13,9,8,4,5,9,NA,NA,8,12,NA,NA,7,3,5,NA,8,NA,0,6,16,30,1,7,NA,15,3,3,6,NA,15,NA
"2013-05-15",NA,4,13,8,3,7,9,5,10,15,9,17,0.285714285714286,0,3,NA,NA,13,9,NA,10,NA,5,NA,0,8,10,0.5,6,2,5,NA,2.5,NA,NA,NA,0,NA,6,NA,2,NA,28,NA,4,13,7,NA,10,NA
"2013-05-16",NA,3,NA,NA,0,NA,NA,NA,12,NA,NA,NA,0.285714285714286,NA,6,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,2,2.25,NA,2.5,NA,9,NA,0,NA,NA,22,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"2013-05-17",NA,NA,12,4,NA,9,0,3,NA,NA,9,32,0.285714285714286,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.25,NA,NA,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA
"2013-05-18",NA,10,NA,NA,0,3,NA,NA,18,21,NA,NA,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,24,NA,22,NA,NA,NA,NA,NA,NA,2,2.25,NA,NA,NA,5,NA,0,NA,NA,30,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA
"2013-05-19",NA,NA,12,13,NA,3,9,4,NA,NA,8,26,0.285714285714286,NA,7,NA,20,NA,30,NA,8,NA,NA,NA,NA,NA,28,9,11,2,2.25,NA,12,55,NA,0,0,11,24,NA,NA,NA,NA,NA,13,1.5,34,NA,34,NA
"2013-05-20",16,2,NA,4,0,7,4,4,5,NA,NA,12,0.285714285714286,NA,4,NA,6,15,9,NA,NA,21,30,45,NA,11,7,NA,5,2,NA,NA,NA,NA,NA,NA,0,NA,6,15,NA,19,NA,NA,3,10.5,NA,NA,NA,NA
"2013-05-21",NA,5,6,5,NA,NA,4,4,6,21,8,13,3,NA,NA,15,NA,14,10,25,9,NA,29,NA,2,NA,10,6,2.5,2,5,NA,8,25,NA,0,NA,5,9,28,NA,2,29,13,4,NA,1,15,NA,NA
"2013-05-22",13,4,NA,6,0,12,NA,4,13,NA,5,15,3,NA,4,6,NA,13,8,NA,10,8,7.5,NA,NA,7,NA,7,2.5,4,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA
"2013-05-23",NA,7,11,5,0,4,9,6,NA,NA,2,12,2,5,3,6,NA,NA,5,NA,8,NA,7.5,NA,NA,1,12,5,NA,NA,4,NA,5,NA,NA,NA,NA,4,6,16,5,NA,NA,1.66666666666667,5,NA,11,NA,NA,NA
"2013-05-24",NA,2,NA,9,NA,5,NA,5,8,14,3,NA,5,11,NA,NA,NA,NA,6,NA,5,9,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,0,NA,14,NA,NA,15,NA,1.66666666666667,NA,NA,NA,NA,NA,NA
"2013-05-25",NA,5,0,2,5,7,3,4,7,NA,4,18,3,NA,0.285714285714286,7,21,0,6,8,NA,NA,8,27,0,NA,10,2,NA,4,NA,27,11,29,NA,0,0,7,8,13,5,NA,14,1.66666666666667,3,NA,7,9,54,NA
"2013-05-26",NA,12,15,NA,NA,6,12,4,13,5,6,15,4,5,0.285714285714286,NA,6,NA,10,NA,14,NA,10,NA,0,10,12,NA,5,NA,4,4,6,59,NA,2,0,NA,NA,NA,NA,5,NA,NA,3,24,7,NA,7,NA
"2013-05-27",NA,8,6,8,2,8,10,5,NA,14,5,NA,4,12,0.285714285714286,11,5,NA,6,NA,NA,11,30,NA,NA,4,9,5,NA,7,NA,4,6,NA,NA,NA,0,9,17,41,5,12,6.5,NA,NA,NA,7,NA,5,NA
"2013-05-28",NA,16,15,3,5,7,NA,4,26,NA,4,25,2,NA,0.285714285714286,7,5,NA,NA,NA,13,NA,NA,NA,0,NA,12,NA,2,NA,6,NA,NA,NA,NA,NA,0,NA,5,NA,NA,NA,6.5,9,NA,6,NA,NA,NA,NA
"2013-05-29",28,11,10,5,NA,8,2,3,NA,NA,4,NA,4,12,0.285714285714286,NA,5,NA,13,NA,NA,8,30,27,NA,10,9,NA,7,5,NA,4,10,45,5,NA,0,12,6,37,6,NA,6.5,2,6,NA,19,NA,NA,NA
"2013-05-30",NA,NA,10,4,2,7,5,2,11,11,3,23,3,0,0.285714285714286,6,4,NA,6,NA,13,NA,25,NA,0,NA,7,16,4,NA,4,8,6,NA,10,2,0,NA,9,NA,2,NA,6.5,NA,2,2,6,NA,NA,NA
"2013-05-31",NA,10,NA,4,NA,6,0,1,NA,10,3,10,2,0,0.285714285714286,5,NA,NA,7,NA,5,8,NA,20,NA,5,5,NA,NA,NA,2,NA,5,30,6,NA,NA,7,2.5,NA,5,24,NA,2,4,NA,5,NA,26,NA
"2013-06-01",NA,16,NA,3,0,8,2,NA,18,NA,4,NA,3,0,2,6,NA,NA,10,NA,8,NA,30,NA,2,NA,8,14,NA,NA,NA,4,6,NA,7,NA,0,NA,2.5,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"2013-06-02",NA,NA,NA,2,3,6,2,7,NA,11,NA,32,4,NA,2,NA,6,NA,10,NA,NA,9,NA,NA,1,6,7,NA,7,2,5,NA,6,45,6,2,NA,NA,13,37,3,13,NA,NA,7,NA,10,NA,NA,NA
"2013-06-03",NA,11,19,3,2,7,6,9,10,NA,9,35,5,0,2,4,6,NA,8,60,15,NA,13.4615384615385,13,0,2,9,10,9,NA,NA,11,6,NA,NA,NA,1,8,6,35,NA,NA,4,0,5,4,9,0,NA,NA
"2013-06-04",14,13,6,3,0,6,6,6,10,NA,4,28,NA,NA,3,5,NA,NA,9,NA,NA,10,13.4615384615385,NA,NA,2,NA,NA,NA,NA,5,2,6,60,4,NA,NA,NA,8,30,NA,10,NA,7,6,NA,7,NA,NA,NA
"2013-06-05",NA,10,NA,3,0,6,NA,3,24,15,6,NA,4,0,4,4,7,22,10,9.90909090909091,15,NA,13.4615384615385,NA,1,NA,16,6,9,NA,NA,4,5,60,NA,NA,0,NA,9,NA,4,NA,17,NA,4,9,10,NA,NA,NA
"2013-06-06",17,7,29,NA,3,NA,6,4,0.5,NA,4,50,3,0,3,5,NA,11,8,9.90909090909091,9,11,13.4615384615385,NA,0,11,6,NA,NA,0,4,NA,4,NA,16,3,0,NA,6,45,2,12,1,NA,NA,4,8,NA,48,NA
"2013-06-07",NA,NA,NA,10,6,7,5,4,0.5,NA,3,NA,2,0,2,NA,8,NA,8,9.90909090909091,NA,5,13.4615384615385,NA,NA,6,5,14,5,NA,3,9,5,NA,4,NA,0,25,7,20,1,NA,1,9,6,NA,NA,NA,NA,NA
"2013-06-08",NA,12,13,3,NA,6,7,6,NA,NA,4,45,4,11,3,NA,6,NA,8,9.90909090909091,13,5,13.4615384615385,NA,2,NA,9,NA,NA,0,3,7,NA,30,NA,NA,0,NA,6,NA,NA,12,NA,NA,5,NA,11,NA,NA,NA
"2013-06-09",15,8,NA,2,4,7,6,10,13,12,7,20,3,NA,2,NA,7,NA,9,9.90909090909091,6,NA,13.4615384615385,NA,NA,9,11,13,5,NA,3,NA,5,NA,5,NA,0,15,5,30,NA,NA,NA,NA,7,12,NA,NA,NA,NA
"2013-06-10",NA,5,NA,2,4,6,NA,6,NA,NA,5,20,4,9,2,NA,8,NA,7,9.90909090909091,NA,NA,13.4615384615385,NA,NA,NA,NA,NA,10,0,5,7,NA,10,3,NA,0,NA,8,NA,7,10,NA,NA,4,NA,20,NA,NA,NA
"2013-06-11",23,NA,NA,NA,NA,NA,10,NA,18,12,NA,NA,NA,7,NA,NA,NA,NA,NA,9.90909090909091,15,15,13.4615384615385,NA,NA,NA,NA,0.8,NA,NA,NA,NA,6,10,15,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA
"2013-06-12",NA,9,NA,5,3,9,NA,9,NA,NA,8,NA,13,13,6,NA,15,11,10,9.90909090909091,NA,NA,13.4615384615385,NA,NA,9,21,0.8,11,11,8,NA,5,10,NA,10,0,NA,17,46,4,12,23,NA,9,NA,0.8,NA,37,NA
"2013-06-13",NA,NA,NA,3,NA,NA,0,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.90909090909091,NA,NA,13.4615384615385,NA,NA,6.5,7,0.8,NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA
"2013-06-14",NA,4,NA,3,2,11,NA,7,NA,NA,0,81,5,12,0,NA,NA,NA,16,9.90909090909091,19,14,13.4615384615385,NA,1,6.5,8,0.8,NA,NA,5,NA,2,NA,NA,NA,0,NA,7,NA,2,10,NA,NA,NA,NA,0.8,NA,NA,NA
"2013-06-15",20,10,NA,2,2,6,0,4,NA,6,5,35,8,7,4,NA,8,41,NA,9.90909090909091,NA,NA,13.4615384615385,NA,0,5,18,0.8,15,4,NA,26,2,NA,3,NA,0,NA,11,NA,NA,NA,13,15,10,NA,0.8,72,NA,NA
"2013-06-16",NA,10,5,5,0,7,NA,5,55,13,4,25,5,7,3,51,NA,NA,17,NA,8,NA,45,13,3,8,9,13,10,9,2.66666666666667,NA,6,60,3,NA,NA,19,9,NA,2,12,6,NA,3,NA,8,NA,30,10
"2013-06-17",19,8,12,2,3,5,5,5,NA,NA,5,NA,4,0,4,NA,10,NA,NA,3.375,14,NA,15,7,NA,7,9,NA,4,NA,2.66666666666667,15,5,60,7,NA,0,NA,NA,NA,NA,NA,NA,6,NA,29,7,NA,NA,NA
"2013-06-18",NA,NA,NA,NA,3,6,NA,5,NA,11,5,40,5,NA,5,NA,NA,NA,17,3.375,NA,NA,NA,NA,1,2,9,NA,NA,NA,2.66666666666667,NA,5,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,7,NA,9,NA,NA,6.8
"2013-06-19",NA,10,15,7,NA,7,4,3,15,NA,6,15,NA,0,3,NA,10,NA,9,3.375,15,22,NA,NA,NA,2,7,19,4,NA,NA,NA,2,120,10,NA,0,19,15,NA,3,NA,NA,NA,NA,5,NA,NA,NA,6.8
"2013-06-20",NA,NA,NA,2,0,6,6,4,NA,12,4,NA,5,0,NA,31,NA,30,7,3.375,NA,NA,NA,NA,2,NA,11,8,NA,NA,5,10,2,NA,NA,NA,0,NA,6,NA,NA,12,24,18,8,NA,9,NA,NA,6.8
"2013-06-21",NA,0.25,12,3,NA,NA,NA,4,17,NA,3,40,NA,5,5,3.5,10,NA,8,3.375,13,10,NA,NA,NA,NA,6,NA,8,NA,NA,5,NA,50,8,NA,NA,13,15,NA,NA,NA,NA,NA,NA,11,7,NA,40,6.8
"2013-06-22",NA,0.25,NA,2,6,12,2,6,NA,13,NA,25,8,NA,5,3.5,10,NA,8,3.375,NA,NA,60,32,1,NA,NA,NA,NA,NA,4,5,6,NA,NA,NA,0,NA,NA,NA,5,10,NA,NA,NA,5,NA,NA,NA,6.8
"2013-06-23",NA,0.25,15,3,NA,5,5,6,18,NA,9,15,1,0,4,NA,5,16,10,3.375,15,10,NA,NA,NA,NA,21,17,3,18,NA,NA,5,45,15,NA,0,NA,14,60,NA,NA,NA,13,7,NA,12,NA,25,NA
"2013-06-24",NA,4.25,NA,2,5,NA,NA,NA,NA,6,NA,15,4,0,NA,11,5,NA,NA,3.375,8,NA,10,17,1,20,10,NA,5,NA,4,3,NA,NA,NA,NA,NA,12,NA,NA,1,6,NA,NA,6,11,12,NA,NA,6
